English,Urdu_True,Urdu_Pred
she looks very sick,وہ بہت بیمار نظر آتی ہے,وہ بہت بیمار لگ رہا ہے
it was superb,یہ شاندار تھا,یہ شاندار تھا
zain surprised mary,زین نے مریم کو حیران کر دیا,زین نے مریم کو حیران کر دیا۔
get out of here,یہاں سے نکل جاؤ,یہاں سے نکلو
i hate raccoons,میں ریکونز سے نفرت کرتا ہوں,مجھے ریکن سے نفرت ہے۔
you cant just go,تم بس نہیں جا سکتے,آپ صرف جا نہیں سکتے
try again,دوبارہ کوشش کریں,دوبارہ کوشش کریں
he is over forty,وہ چالیس سے زائد ہے,اس کی عمر چالیس سال سے زیادہ ہے
our kids hate us,ہمارے بچے ہم سے نفرت کرتے ہیں,ہمارے بچے ہم سے نفرت کرتے ہیں
were dieting,پرہیز کر رہے تھے,پرہیز کر رہے تھے
let me leave,مجھے جانے دو,مجھے جانے دو
i have appendicitis,مجھے اپینڈیسائٹس ہے۔,مجھے پچھواڑے کا بخار ہے۔
deliver this message,اس پیغام کو پہنچائیں,یہ پیغام فراہم کریں
it rained nonstop,مسلسل بارش ہوئی,بارش بکواس سے ہوئی
zain is divorced,زین طلاق یافتہ ہے,زین طلاق یافتہ ہے
they are my cousins,وہ میرے کزن ہیں,وہ میرے کزن ہیں
he slept all day,وہ سارا دن سوتا رہا,وہ سارا دن سوتا رہا
its my only hope,یہ میری واحد امید ہے,یہ میری واحد امید ہے
zain didnt like that,زین کو یہ پسند نہیں آیا,زین کو یہ پسند نہیں آیا
it helps,یہ مدد گار ہے!,یہ مدد کرتا ہے
he is in my class,وہ میری کلاس میں ہے,وہ میرے کلاس میں ہے
its my treat,یہ میری دعوت ہے,یہ میرا معاہدہ ہے
her life is in danger,اس کی زندگی خطرے میں ہے,اس کی زندگی خطرے میں ہے
you cant help them,آپ ان کی مدد نہیں کر سکتے,آپ ان کی مدد نہیں کر سکتے
nobody spoke with me,کسی نے مجھ سے بات نہیں کی,کسی نے میرے ساتھ بات نہیں کی
draw the certain,یقینی کھینچنا,یقینی کھینچنا
this book will do,یہ کتاب کرے گی,یہ کتاب کرے گا
i will be by later,میں بعد میں آؤں گا۔,میں بعد میں آؤں گا
this place is creepy,یہ جگہ خوفناک ہے,یہ جگہ ڈراونا ہے
where have they gone,وہ کہاں گئے ہیں,وہ کہاں گئے ہیں
give me a hug,مجھے گلے لگاو,مجھے گلے لگائیں
could you sign this,کیا آپ اس پر دستخط کر سکتے ہیں,کیا آپ اس پر دستخط کر سکتے ہیں؟
zains insane,زان پاگل,زین پاگل
why are you home,آپ گھر کیوں ہیں,تم گھر کیوں ہو
we’d like a little longer please,ہم تھوڑی دیر چاہیں گے,ہم تھوڑا سا زیادہ براہ مہربانی چاہتے ہیں
ok i am persuaded,ٹھیک ہے مجھے قائل کیا جاتا ہے,ٹھیک ہے میں قائل ہوں
how can i prove it,میں اسے کیسے ثابت کر سکتا ہوں,میں اسے کیسے ثابت کر سکتا ہوں
the house is vacant,یہ گھر خالی ہے۔,یہ گھر خالی ہے۔
i know what i did,میں جانتا ہوں کہ میں نے کیا کیا۔,میں جانتا ہوں کہ میں نے کیا کیا
i dont want to sleep,میں سونا نہیں چاہتا,میں سونا نہیں چاہتا
trust in me,مجھ پر بھروسہ,مجھ پر بھروسہ کرو
this isnt real,یہ حقیقی نہیں ہے,یہ حقیقی نہیں ہے
i love talking to you,مجھے تم سے بات کرنا پسند ہے۔,مجھے تم سے بات کرنی پسند ہے۔
oh no not again,ارے نہیں دوبارہ نہیں۔,اوہ نہیں دوبارہ نہیں
zain cant beat me,زین کینٹ نے مجھے مارا,زین مجھے شکست نہیں دے سکتا
examine it,اس کی جانچ کریں,اس کا جائزہ لیں
he is a selfmade man,وہ خود ساختہ آدمی ہے۔,وہ ایک خود بنایا آدمی ہے
i will come again,میں پھر آؤں گا۔,میں دوبارہ آؤں گا۔
its work,اس کا کام,اس کا کام
its a family trait,یہ ایک خاندانی خصوصیت ہے,یہ ایک خاندانی خصوصیت ہے
did somebody hit you,کیا آپ کو کسی نے مارا؟,کیا کسی نے آپ کو مارا؟
i explained it to him,میں نے اسے سمجھایا,میں نے اسے سمجھا
is that even legal,کیا یہ قانونی بھی ہے,کیا یہ قانونی بھی ہے
somebody touched me,کسی نے مجھے چھوا,کسی نے مجھے چھوا
i would have said no,میں نے کہا ہوگا نہیں,میں نہیں کہتا
i can do it,میں یہ کر سکتا ہوں,میں یہ کر سکتا ہوں
i am too ashamed,میں بہت شرمندہ ہوں,میں بہت شرمندہ ہوں۔
its been three days,تین دن ہو گئے,تین دن ہو گئے
i have returned,میں واپس اگیا ہوں,میں واپس آگیا
i dont like her hat,مجھے اس کی ٹوپی پسند نہیں ہے,مجھے اس کی ٹوپی پسند نہیں
keep it simple,سادہ رکھیں,اسے سادہ رکھیں
may i interrupt,میں مداخلت کرسکتا ہوں,کیا میں روک سکتا ہوں؟
what is zain up to,زین تک کیا ہے,زین کیا کر رہا ہے
we are happy,ہم خوش ہیں,ہم خوش ہیں
i am going to miss you,میں آپ کو یاد کرنے جا رہا ہوں,میں آپ کو یاد کرنے جا رہا ہوں
they go to a gallery every saturday,وہ ہر ہفتہ کو ایک گیلری میں جاتے ہیں۔,وہ ہر ہفتہ ایک گالری میں جاتے ہیں
zain got home,زین گھر پہنچا,زین گھر پہنچا
he is very stingy,وہ بہت کنجوس ہے,وہ بہت کنجوس ہے
this letters for me,یہ خط میرے لیے,یہ میرے لیے خط لکھا ہے۔
it was in the news,یہ خبروں میں تھا,یہ خبروں میں تھا
zain freed the bird,زین نے پرندے کو آزاد کر دیا۔,زین نے پرندے کو آزاد کیا۔
i will show you my room,میں تمہیں اپنا کمرہ دکھاؤں گا۔,میں آپ کو اپنا کمرہ دکھاؤں گا۔
my wife snores during sleep,میری بیوی نیند کے دوران خراٹی کرتی ہے,میری بیوی نیند کے دوران خراٹے لیتی ہے۔
i have gained weight,میں نے وزن بڑھا لیا ہے,میں نے وزن بڑھا لیا ہے
rice grows in warm countries,چاول گرم ممالک میں اگتا ہے۔,چاول گرم ملکوں میں بڑھتا ہے۔
he is unmarried,وہ غیر شادی شدہ ہے,وہ شادی شدہ نہیں ہے
i am dead tired,میں تھک کر مر گیا ہوں,میں تھک کر مر گیا ہوں
anyone home,کوئی بھی گھر,کوئی گھر
did zain have a gun,کیا زین کے پاس بندوق تھی؟,کیا زین کے پاس بندوق تھی
what is zain selling,زین فروخت کیا ہے,زین کیا بیچ رہا ہے
did you call tom,کیا آپ نے ٹام کو فون کیا؟,کیا آپ نے ٹام کو فون کیا؟
are you disappointed,کیا آپ مایوس ہیں,کیا آپ مایوس ہیں؟
what would you like me to do,تم کیا چاہتے ہو کہ میں کیا کروں؟,آپ مجھے کیا کرنا پسند کریں گے؟
shes caucasian,وہ کاکیشین,وہ کیوسکی ہے
zain is vague,زین مبہم ہے,زین مبہم ہے
meet me in an hour,ایک گھنٹے میں مجھ سے ملو,ایک گھنٹے میں مجھ سے ملو
how come you ask,آپ کیسے پوچھتے ہیں,آپ کس طرح پوچھتے ہیں
get to it tom,اسے حاصل کریں ٹام,اس پر ٹام حاصل کریں
challenge yourself,اپنے آپ کو چیلنج کریں,اپنے آپ کو چیلنج
i am hitting the road,میں سڑک کو مار رہا ہوں۔,میں سڑک پر ٹکرا رہا ہوں۔
my brain is full,میرا دماغ بھرا ہوا ہے۔,میرا دماغ بھرا ہوا ہے
you were jealous,آپ حسد کرتے تھے,تم حاسد تھے
i am from the future,میں مستقبل سے ہوں,میں مستقبل سے ہوں
zain likes money,زین کو پیسے پسند ہیں۔,زین کو پیسے پسند ہیں۔
there is a snag,کوئی,ایک خرابی ہے
grief drove her mad,غم نے اسے پاگل کر دیا,دکھ نے اسے پاگل کر دیا
i took a day off,میں نے ایک دن کی چھٹی لی,میں نے ایک دن کی چھٹی لی ہے۔
a lovely day isn’t it,ایک خوبصورت دن یہ نہیں ہے,ایک خوبصورت دن نہیں ہے
zain turned right,زین دائیں طرف مڑا,زین نے دائیں طرف موڑ دیا
can i go out to play,کیا میں باہر کھیلنے جا سکتا ہوں؟,کیا میں کھیلنے کے لئے باہر جا سکتا ہوں
when does class begin tomorrow,کل کلاس کب شروع ہوگی,کل کلاس کب شروع ہوتی ہے
thread the needle,انجکشن دھاگے,سریہ کھینچنا
let me call tom,مجھے ٹام کو فون کرنے دو,مجھے ٹام کو فون کرنے دو
you should not go back from your words,آپ کو اپنے الفاظ سے واپس نہیں جانا چاہئے,آپ کو اپنے الفاظوں سے واپس نہیں جانا چاہئے
he is a gentleman,وہ ایک شریف آدمی ہے,وہ ایک شریف آدمی ہے
does someone know where my son is,کیا کسی کو پتہ ہے کہ میرا بیٹا کدھر ہے؟,کیا کوئی جانتا ہے کہ میرا بیٹا کہاں ہے؟
please give me your hand,براہ کرم مجھے اپنا ہاتھ دیں۔,براہ کرم میرا ہاتھ دے دو
wheres my diary,میری ڈائری کہاں ہے,جہاں میری ڈائری
zain felt fine,زین ٹھیک محسوس کیا,زین نے اچھا محسوس کیا
what is this letter,یہ خط کیا ہے,یہ خط کیا ہے
dont be deceived,دھوکہ نہ کھاؤ,دھوکہ نہ مارو
i sneeze a lot,مجھے بہت چھینک آتی ہے۔,مجھے بہت چھینک آتی ہے
i felt like screaming,میں چیخنے کی طرح محسوس کیا,مجھے چیخنے کا احساس ہوا
i wish i had known,کاش مجھے معلوم ہوتا,کاش مجھے معلوم ہوتا
i am not like that,میں ایسا نہیں ہوں,میں ایسا نہیں ہوں۔
i like it,مجھے پسند ہے,مجھے یہ پسند آیا
zain won the bet,زین نے شرط جیت لی,زین شرط جیت گیا۔
he continued to work,اس نے کام جاری رکھا,اس نے کام جاری رکھا
i wish that were true,کاش یہ سچ ہوتا,کاش یہ سچ ہوتا
zain studies french,زین فرانسیسی پڑھتا ہے۔,زین مطالعہ فرانسیسی
you are wrong in this case,آپ اس معاملے میں غلط ہیں,آپ اس معاملے میں غلط ہیں
thanks for the tip,شکریہ ترکیب کے لے,ٹپ کے لئے شکریہ
isnt zain sweet,زین میٹھا نہیں ہے,زین میٹھا نہیں ہے
i am in trouble now,میں اب مشکل میں ہوں,میں اب مصیبت میں ہوں
comfort tom,آرام دہ ٹام,آرام کرو ٹام
perhaps i was wrong,شاید میں غلط تھا,شاید میں غلط تھا
she'll probably come,ممکن ہے کہ وہ آجائے گی۔,وہ شاید آئے گی۔
is somebody there,وہاں کوئی ہے؟,وہاں کوئی ہے؟
hi tom,ہیلو ٹام,ہیلو ٹام
he began singing,اس نے گانا شروع کیا,اس نے گانا شروع کر دیا
do you go there often,کیا آپ اکثر وہاں جاتے ہیں؟,کیا آپ اکثر وہاں جاتے ہیں؟
i almost never listen to the radio,میں ریڈیو کبھی کبھی سنتا ہوں۔,میں تقریبا کبھی ریڈیو نہیں سنتا
did you phone tom,کیا آپ نے ٹام کو فون کیا,کیا آپ نے ٹام کو فون کیا؟
she became a doctor,وہ ڈاکٹر بن گئی,وہ ڈاکٹر بن گئیں
zain saw mary again,زین نے دوبارہ مریم کو دیکھا,زین نے مریم کو دوبارہ دیکھا
i wanted to make some telephone calls,میں کچھ ٹیلی فون کالیں کرنا چاہتا تھا۔,میں کچھ ٹیلیفون کرنا چاہتا تھا۔
do you feel better,کیا تم بہتر محسوس کر رہے ہو,کیا آپ بہتر محسوس کرتے ہیں
she was perfect,وہ کامل تھا,وہ کامل تھی
the idea is not bad,خیال برا نہیں ہے,خیال برا نہیں ہے
this is my umbrella,یہ میری چھتری ہے۔,یہ میری چھتری ہے
the cats are purring,بلیاں پیوست ہیں,بلیاں پاک کر رہی ہیں۔
he cant buy a car,وہ گاڑی نہیں خرید سکتا,وہ گاڑی نہیں خرید سکتا
at last my turn came,آخر کار میری باری آ گئی۔,آخر میں میری باری آئی
i had like to stand,مجھے کھڑا ہونا پسند تھا۔,مجھے کھڑے ہونا پسند تھا۔
its lunch time,یہ دوپہر کے کھانے کا وقت ہے,اس کے دوپہر کے کھانے کا وقت
lets get some sleep,کچھ سونے دو,چلو کچھ سوتے ہیں
do you like tofu,کیا آپ کو ٹوفو پسند ہے؟,کیا آپ کو ٹوفو پسند ہے؟
they have three children,ان کے تین بچے ہیں,ان کے تین بچے ہیں
no one will survive,کوئی بھی زندہ نہیں رہے گا,کوئی بھی زندہ نہیں کرے گا
